title,url,publishedAt
Cummins takes hat-trick as Australia beat Bangladesh,https://www.bbc.com/sport/cricket/articles/c4nn7pdpy2lo,2024-06-21T04:43:41Z
Bangladesh Looks to China for $5 Billion Loan,https://time.com/6994775/bangladesh-china-loan/,2024-07-03T07:30:00Z
Bangladesh reels from surge in snake bites,https://www.bbc.com/news/articles/ck55keekpljo,2024-06-22T13:47:35Z
Deadly unrest over job quotas grips Bangladesh,https://www.bbc.com/news/articles/cd1rzm4kjx0o,2024-07-17T00:24:22Z
Bangladesh students defy ban to continue protests,https://www.bbc.com/news/articles/cl4ymjrx10xo,2024-07-19T10:30:03Z
"Au Bangladesh, les manifestations interdites à Dacca, un dirigeant d’opposition arrêté",https://www.lemonde.fr/international/article/2024/07/19/au-bangladesh-les-manifestations-interdites-a-dacca-un-dirigeant-d-opposition-arrete_6252635_3210.html,2024-07-19T09:09:14Z
The British Army has shrunk to its smallest size since the Napoleonic wars,https://www.businessinsider.com/british-army-size-smallest-since-napoleonic-wars-2024-7,2024-07-13T09:00:02Z
These are the major elections NPR correspondents are watching,https://www.npr.org/2024/06/30/g-s1-6338/2024-major-elections-npr-reporting,2024-06-30T10:00:00Z
Au moins quatorze morts dans des inondations et des glissements de terrain au Népal,https://www.lemonde.fr/planete/article/2024/07/07/au-moins-quatorze-morts-dans-des-inondations-et-des-glissements-de-terrain-au-nepal_6247467_3244.html,2024-07-07T09:31:26Z
The Morning After: The age of the retro CD player is here,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_50717b9c-41aa-4a82-b5a2-d61eeecb4816,2024-07-19T11:16:06Z
"Follow live: India, Australia meet with semifinal places at stake",https://www.espn.com/cricket/series/8604/game/1415751/,2024-06-24T14:20:19Z
Highlights - Australia stroll to victory over Bangladesh,https://www.bbc.com/sport/cricket/videos/c7223yry1m4o,2024-06-21T08:29:21Z
Elevated Tiny Home Is Designed As An Economical & Safe Solution To Bangladesh’s Flooding Problem,https://www.yankodesign.com/2024/06/28/elevated-tiny-home-is-designed-as-an-economical-safe-solution-to-bangladeshs-flooding-problem/,2024-06-28T23:30:57Z
India hit 13 sixes in Bangladesh victory,https://www.bbc.com/sport/cricket/videos/c144k814v8jo,2024-06-22T21:01:29Z
Innovative And Sustainable Tiny Homes Transforming Flood-Prone Communities In Bangladesh,https://www.yankodesign.com/2024/07/10/innovative-and-sustainable-tiny-homes-transforming-flood-prone-communities-in-bangladesh/,2024-07-10T22:30:05Z
"Bangladesh orders a nationwide shutdown of its mobile internet amid student protests that killed dozens of people to ""ensure the security of citizens"" (Daryna Antoniuk/The Record)",https://www.techmeme.com/240719/p4,2024-07-19T08:40:01Z
India thrash Bangladesh to close on semi-finals,https://www.bbc.com/sport/cricket/articles/cgxxwzgdj92o,2024-06-22T17:55:01Z
"Six dead as floods inundate vast swath of India, Bangladesh",https://phys.org/news/2024-07-dead-inundate-vast-swath-india.html,2024-07-03T08:10:02Z
Afghans celebrate reaching cricket T20 World Cup semi-finals,https://www.aljazeera.com/program/newsfeed/2024/6/25/afghans-celebrate-reaching-cricket-t20-world-cup-semi-finals,2024-06-25T13:45:06Z
India move closer to semis with dominant win over Bangladesh,https://www.bbc.com/sport/cricket/videos/cw00vnry0g9o,2024-06-22T19:15:58Z
Afghanistan beat Bangladesh to reach T20 World Cup semifinal,https://www.aljazeera.com/gallery/2024/6/25/afghanistan-beat-bangladesh-to-reach-t20-world-cup-semifinal,2024-06-25T07:25:05Z
Violent and fatal anti-quota protests rock Bangladesh,https://www.aljazeera.com/program/newsfeed/2024/7/18/violent-and-fatal-anti-quota-protests-rock-bangladesh,2024-07-18T19:41:44Z
Dozens wounded as Bangladesh students protest government job quotas,https://www.aljazeera.com/program/newsfeed/2024/7/16/dozens-wounded-as-bangladesh-students-protest-government-job-quotas,2024-07-16T11:09:41Z
"Floods kill nine in India and Bangladesh, millions affected",https://phys.org/news/2024-07-india-bangladesh-millions-affected.html,2024-07-04T08:00:37Z
'I've never seen that before!' - Frustrated Rashid throws bat,https://www.bbc.com/sport/cricket/videos/c988ql1j5d8o,2024-06-25T09:01:34Z
"Bangladesh students defy orders, occupy universities as tensions spiral",https://www.aljazeera.com/news/2024/7/17/bangladesh-students-defy-orders-occupy-universities-as-tensions-spiral,2024-07-17T12:50:27Z
Video: Bangladesh police detain imam leading funeral prayers,https://www.aljazeera.com/program/newsfeed/2024/7/18/video-bangladesh-police-detain-imam-leading-funeral-prayers,2024-07-18T11:36:18Z
"Bangladesh student protests over jobs escalate, telecoms disrupted",https://www.aljazeera.com/news/2024/7/19/bangladesh-student-protests-over-jobs-escalate-telecoms-disrupted,2024-07-19T07:37:31Z
Dozens wounded as students protest government job quotas in Bangladesh,https://www.aljazeera.com/news/2024/7/15/dozens-wounded-as-students-protest-government-job-quotas-in-bangladesh,2024-07-15T16:09:29Z
Bangladesh cuts mobile internet as student protests over jobs intensify,https://www.aljazeera.com/news/2024/7/18/bangladesh-cuts-mobile-internet-as-student-protests-over-jobs-intensify,2024-07-18T11:23:02Z
Bangladesh bans rallies as violent protests spiral out of control,https://www.aljazeera.com/gallery/2024/7/19/bangladesh-bans-rallies-as-violent-protests-spiral-out-of-control,2024-07-19T11:36:06Z
"‘It’s war now’: As Bangladesh quota protests escalate, what’s next?",https://www.aljazeera.com/news/2024/7/19/its-war-now-as-bangladesh-quota-protests-escalate-whats-next,2024-07-19T11:23:30Z
"Afghanistan vs Bangladesh – T20 World Cup 2024: Team news, pitch, weather",https://www.aljazeera.com/sports/2024/6/24/afghanistan-vs-bangladesh-t20-world-cup-2024-team-news-pitch-weather-rashid-fazal-h2h,2024-06-24T11:16:57Z
Kenya’s catastrophic flooding is a tragic reminder that it’s time to rethink how aid is delivered,https://www.fastcompany.com/91146390/kenya-catastrophic-flooding-local-groups,2024-06-26T08:00:00Z
Election fallout: deep shifts in Muslim and Jewish voting,https://www.bbc.com/news/articles/c3g37mk7vxlo,2024-07-07T00:09:25Z
Police fire tear gas as Bangladesh protests against job quotas rage,https://www.aljazeera.com/news/2024/7/17/police-fire-tear-gas-as-bangladesh-protests-against-job-quotas-rage,2024-07-17T17:13:30Z
Student protests over Bangladesh job quota leave at least 100 injured,https://www.aljazeera.com/gallery/2024/7/16/dozens-injured-in-bangladesh-clashes-as-students-protest-against-job-quotas,2024-07-16T07:21:09Z
‘We sought rights’: Bangladesh on edge after quota protest turns violent,https://www.aljazeera.com/features/2024/7/16/we-sought-rights-bangladesh-on-edge-after-quota-protest-turns-violent,2024-07-16T12:03:37Z
At least one student killed during anti-quota protests in Bangladesh,https://www.aljazeera.com/news/2024/7/16/at-least-one-student-killed-during-anti-quota-protests-in-bangladesh,2024-07-16T13:37:31Z
What’s behind Bangladesh’s violent quota protests?,https://www.aljazeera.com/news/2024/7/16/whats-behind-bangladeshs-violent-quota-protests,2024-07-16T14:00:51Z
"T20 World Cup: Semifinal Scenarios For India, Australia, Afghanistan, Bangladesh",https://www.forbes.com/sites/manasipathak-1/2024/06/24/t20-world-cup-semifinal-scenarios-for-india-australia-afghanistan-bangladesh/,2024-06-24T08:06:39Z
Who are the protesters demanding an end to job quotas in Bangladesh?,https://www.aljazeera.com/economy/2024/7/18/who-are-the-protesters-demanding-an-end-to-job-quotas-in-bangladesh,2024-07-18T07:15:25Z
Australia on brink of exit after defeat by India,https://www.bbc.com/sport/cricket/articles/cv222zkwxeyo,2024-06-24T18:20:36Z
"Which teams can qualify for the ICC T20 World Cup 2024 semifinals, and how?",https://www.aljazeera.com/sports/2024/6/23/which-teams-can-qualify-for-the-t20-world-cup-2024-semifinals-and-how-afghanistan-vs-bangladesh-india-vs-australia,2024-06-23T13:55:01Z
"India vs Australia – T20 World Cup 2024: Teams, pitch, weather, h2h, toss",https://www.aljazeera.com/sports/2024/6/24/india-vs-australia-t20-world-cup-2024-team-news-pitch,2024-06-24T07:14:35Z
T20 World Cup 2024 final: A look at Virat Kohli’s top limited-overs innings,https://www.aljazeera.com/sports/2024/6/28/t20-world-cup-final-five-of-virat-kohlis-finest-moments-for-india-cricket-south-africa,2024-06-28T13:53:38Z
UNICEF Delivers Relief And Protection To Children Caught In Bangladesh Floods,https://www.forbes.com/sites/unicefusa/2024/06/27/unicef-delivers-relief-and-protection-to-children-caught-in-bangladesh-floods/,2024-06-27T16:00:00Z
Minicasa suspensa é aposta contra enchentes em Bangladesh,https://olhardigital.com.br/2024/06/26/ciencia-e-espaco/minicasa-suspensa-e-aposta-contra-enchentes-em-bangladesh/,2024-06-26T06:00:00Z
Fourteen killed in Nepal as monsoon rains cause flooding in South Asia,https://www.aljazeera.com/gallery/2024/7/7/fourteen-killed-in-nepal-as-monsoon-rains-cause-flooding-in-south-asia,2024-07-07T10:54:21Z
La Gran Fábrica del mundo se agota: los jóvenes chinos y asiáticos ya no quieren trabajar en las manufacturas,https://www.xataka.com/magnet/gran-fabrica-mundo-se-agota-jovenes-chinos-asiaticos-no-quieren-trabajar-manufacturas-1,2024-07-08T16:16:54Z
"Quién es Óscar Curi, el influencer al que daban por muerto y ha vuelto",https://www.trendencias.com/celebrities/quien-oscar-curi-influencer-al-que-daban-muerto-ha-vuelto,2024-07-02T09:09:06Z
How The Other EV Transition — To E-bikes — Is Changing The World,https://www.techdirt.com/2024/07/17/how-the-other-ev-transition-to-e-bikes-is-changing-the-world/,2024-07-17T19:15:03Z
Violentas protestas masivas sacuden Bangladesh: ¿Estamos ante el principio de una nueva revolución de color en Asia?,https://www.elmundo.es/internacional/2024/07/19/669a0052e4d4d809378b45a8.html,2024-07-19T05:57:46Z
"China’s economic influence more welcome in poorer countries, poll finds",https://www.aljazeera.com/economy/2024/7/11/chinas-economic-influence-more-welcome-in-poorer-countries-poll-finds,2024-07-11T05:36:47Z
Can digital payments help countries adapt to climate change?,https://phys.org/news/2024-07-digital-payments-countries-climate.html,2024-07-16T16:16:05Z
The 2024 Largest Cities in the World by Population,https://www.archdaily.com/1018730/the-2024-largest-cities-in-the-world-by-population,2024-07-11T06:30:00Z
La Comisión Europea lanza una campaña para dar visibilidad a las ayudas humanitarias de la UE,https://www.marketingdirecto.com/creacion/campanas-de-marketing/comision-europea-nueva-campana-visibilidad-ayudas-humanitarias-ue,2024-07-16T06:54:24Z
"In Bangladesh 1,3 milioni di persone colpite dalle alluvioni",https://www.ansa.it/sito/notizie/mondo/2024/07/03/in-bangladesh-13-milioni-di-persone-colpite-dalle-alluvioni-_8e76b0fd-5e19-4e61-90d9-b3196a954e67.html,2024-07-03T07:39:45Z
World Cup glory a vindication for India cricket legends,https://www.bbc.com/news/articles/c3ge87ew7kyo,2024-07-01T09:38:48Z
Sale a 50 il numero dei morti per le proteste antigovernative in Bangladesh. Arrestato nella capitale anche il leader dell’opposizione,https://www.ilfattoquotidiano.it/2024/07/19/sale-a-50-il-numero-dei-morti-per-le-proteste-antigovernative-in-bangladesh-arrestato-nella-capitale-anche-il-leader-dellopposizione/7629158/,2024-07-19T11:09:48Z
Rohingya ‘genocide intensifying’ as war rages in Myanmar’s Rakhine: BROUK,https://www.aljazeera.com/news/2024/6/26/rohingya-genocide-intensifying-as-war-rages-in-myanmars-rakhine-brouk,2024-06-26T06:06:50Z
"T20 World Cup 2024 semifinals: Teams, dates, venues, weather, conditions",https://www.aljazeera.com/sports/2024/6/25/t20-world-cup-2024-semifinals,2024-06-25T08:07:16Z
Raised flood-resistant tiny house is made to be moved,https://newatlas.com/tiny-houses/khudia-bari-vitra-marina-tabassum/,2024-06-24T13:56:29Z
Afghanistan erupts in celebration as team reaches T20 World Cup semifinal,https://www.aljazeera.com/sports/2024/6/25/afghanistan-erupts-in-celebration-as-team-reaches-t20-world-cup-semifinal,2024-06-25T11:40:46Z
Nation-State Actors Targeting Software Supply Chain via GitHub [2023),https://panther.com/blog/nation-state-actors-targeting-software-supply-chain-via-github/,2024-07-17T16:44:23Z
Flota la fruta,https://www.nationalgeographic.com.es/fotografia/foto-del-dia/flota-fruta_22449,2024-06-26T04:00:00Z
Polynomial Support Vector Machines: Why Warner Music Entering the South Asia Market?,https://www.r-bloggers.com/2024/06/polynomial-support-vector-machines-why-warner-music-entering-the-south-asia-market/,2024-06-24T09:00:00Z
Telecoms cut in Bangladesh as deadly protests over government jobs escalate,https://www.cbc.ca/news/world/bangladesh-jobs-protests-telecoms-cut-1.7268940,2024-07-19T13:57:40Z
Photos: Muslims worldwide mark Ashura,https://www.aljazeera.com/gallery/2024/7/16/photos-muslims-worldwide-mark-ashura,2024-07-16T16:13:17Z
Agua de las montañas,https://www.nationalgeographic.com.es/fotografia/foto-del-dia/agua-montanas_22728,2024-07-19T05:00:00Z
[Removed],https://removed.com,1970-01-01T00:00:00Z
"In fiamme l'edificio tv di Stato in Bangladesh, molti intrappolati",https://www.ansa.it/sito/notizie/mondo/2024/07/18/in-fiamme-ledificio-tv-di-stato-in-bangladesh-molti-intrappolati_5a909c77-1881-4c83-8dd6-43cdb42802c2.html,2024-07-18T13:59:45Z
"Vous saurez bientôt si vos données personnelles sont sur le “dark web” : nom, adresse, téléphone, mot de passe, etc.",https://www.presse-citron.net/donnees-personnelles-dark-web-nom-adresse-telephone-mot-de-passe/,2024-07-10T05:07:56Z
How Access To Food For Survivors Of Genocide Is The First Step To Dignity,https://www.forbes.com/sites/valentinadidonato/2024/07/05/how-access-to-food-for-survivors-of-genocide-is-the-first-step-to-dignity/,2024-07-05T17:36:14Z
"Mitti Labs, la start-up qui œuvre pour dépolluer la culture du riz",https://www.presse-citron.net/mitti-labs-la-start-up-qui-oeuvre-pour-depolluer-la-culture-du-riz/,2024-07-17T07:47:41Z
England beat New Zealand to end home summer undefeated,https://www.bbc.com/sport/cricket/articles/c4ng9d8e3y0o,2024-07-17T20:20:24Z
Nove morti in India e Bangladesh per le alluvioni,https://www.internazionale.it/ultime-notizie/2024/07/04/nove-morti-india-bangladesh-alluvioni,2024-07-04T11:30:02Z
"Afghanistan vs South Africa – T20 World Cup semifinal: Weather, pitch, toss",https://www.aljazeera.com/sports/2024/6/26/afghanistan-vs-south-africa-t20-world-cup-semifinal-weather-pitch-toss,2024-06-26T07:58:33Z
