title,url,publishedAt
Sirieix joins BBC's presenter line-up for Olympics,https://www.bbc.com/news/articles/crgednq2l07o,2024-06-28T01:53:58Z
Schmid heads Austria in front against Netherlands,https://www.bbc.com/sport/football/videos/c722vzy36vpo,2024-06-25T17:41:04Z
Highlights: Austria top Group D as they beat Netherlands in five-goal thriller,https://www.bbc.com/sport/football/videos/c4nngmv9np3o,2024-06-25T18:07:57Z
[Removed],https://removed.com,1970-01-01T00:00:00Z
Three senators introduce bill to protect artists and journalists from unauthorized AI use,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_cf7bd7da-97eb-4bbc-b82a-b63e50b61e23,2024-07-12T20:57:26Z
Stamp collecting might become a thing again with the launch of these new D&D stamps in the UK,https://readwrite.com/dungeons-and-dragons-stamps/,2024-07-12T09:15:40Z
"7 supplements a personal trainer and bodybuilding coach takes daily to grow muscle, boost energy, and stay in shape",https://www.businessinsider.com/supplements-personal-trainer-bodybuilder-grow-muscle-energy-stay-in-shape-2024-7,2024-07-03T10:57:59Z
Democrats say Nancy Pelosi is playing '3-D chess' from inside the Biden campaign crisis,https://www.businessinsider.com/democrats-say-nancy-pelosi-playing-chess-within-biden-crisis-2024-7,2024-07-17T19:04:37Z
The USS Dwight D. Eisenhower leaves the Red Sea as Houthi attacks continue,https://www.npr.org/2024/06/22/g-s1-5794/uss-dwight-eisenhower-houthi-attacks-red-sea,2024-06-22T21:14:32Z
A meeting to consider a bipartisan privacy bill just crumbled,https://www.theverge.com/2024/6/27/24187313/house-energy-commerce-committee-cancels-apra-privacy-bill-markup,2024-06-27T20:49:43Z
Tenacious D singer makes comment after Trump shooting,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_623af11b-e85d-4579-b318-60bd7f31cdbb,2024-07-17T10:27:40Z
Elon Musk is the latest to call out Tenacious D's Kyle Gass for saying 'don't miss Trump next time.' Here's a timeline of the controversy.,https://www.businessinsider.com/what-jack-black-say-donald-trump-kyle-gass-dont-miss-2024-7,2024-07-16T12:39:08Z
The final collection of adventures for D&D’s unrevised fifth edition launches July 16 — here’s where to pre-order,https://www.polygon.com/24190285/dungeons-and-dragons-quests-from-the-infinite-staircase-pre-order,2024-07-02T18:55:00Z
[Removed],https://removed.com,1970-01-01T00:00:00Z
Wireless festival to finish early for Euros final,https://www.bbc.com/news/articles/c903952zdl4o,2024-07-12T09:39:41Z
What does the presidential immunity decision mean for the Jan. 6 case against Trump?,https://www.npr.org/2024/07/02/nx-s1-5025168/what-does-the-presidential-immunity-decision-mean-for-the-jan-6-case-against-trump,2024-07-02T11:16:01Z
Dungeons & Dragons to Finally Let Players Drink Potions as a Bonus Action in One D&D,https://www.ign.com/articles/dungeons-dragons-to-finally-let-players-drink-potions-as-a-bonus-action-in-one-dd,2024-06-24T15:10:57Z
"Draper, Norrie & Evans named in GB Davis Cup team",https://www.bbc.com/sport/tennis/articles/cd1x25d2d29o,2024-07-15T12:32:27Z
Wild Ideas For Your Next D&D Game!,https://www.penny-arcade.com/news/post/2024/06/26/wild-ideas-for-your-next-d-d-game,2024-06-26T18:27:00Z
"Des Moines metro colleges Drake, DMACC duel in trademark lawsuit over use of the letter D",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_5b3e4a34-2c32-4375-914b-ab9c6801cb04,2024-07-09T12:30:26Z
The Biden administration wants to find more sustainable construction materials,https://www.theverge.com/2024/7/17/24199905/biden-administration-epa-grants-construction-materials-steel-cement-climate-environmental-assessment,2024-07-17T12:00:00Z
Trump is 'existential threat to democracy' while Biden is 'the best messenger' for U.S.: Rep. Meeks,https://www.yahoo.com/news/trump-existential-threat-democracy-while-155954311.html,2024-07-08T15:59:54Z
Judge Judy slams hush money case against Trump as ‘nonsense’,https://thehill.com/blogs/in-the-know/4733211-judy-judy-trump-new-york-hush-money-alvin-bragg-convicted-felon/,2024-06-21T15:00:13Z
Unlocking the Mystery of an Aircraft ADI,https://hackaday.com/2024/07/08/unlocking-the-mystery-of-an-aircraft-adi/,2024-07-08T11:00:44Z
Senators Strike Bipartisan Deal For a Ban On Stock Trading By Members of Congress,https://yro.slashdot.org/story/24/07/10/1940249/senators-strike-bipartisan-deal-for-a-ban-on-stock-trading-by-members-of-congress,2024-07-10T20:50:00Z
Russia may resort to an old World War II tactic that had a key role in the D-Day landings to repel Ukrainian drone attacks,https://www.businessinsider.com/russia-use-wwii-tactic-defend-against-ukrainian-drone-strikes-2024-7,2024-07-07T16:10:02Z
Dungeons & Dragons’ new crafting system – what is it and when could it come to a video game near you?,https://readwrite.com/dungeons-dragons-new-crafting-system-what-is-it-and-when-could-it-come-to-a-video-game-near-you/,2024-07-03T14:39:14Z
The Right Is Blaming Women and DEI For the Secret Service's Failure in Trump Shooting,https://www.wired.com/story/right-wing-conspiracy-dei-secret-service-women-blame-trump-shooting/,2024-07-15T14:55:15Z
Gpu.cpp: A lightweight library for portable low-level GPU computation,https://www.answer.ai/posts/2024-07-11--gpu-cpp.html,2024-07-13T06:12:35Z
Princess Anne admitted to hospital after injury,https://www.bbc.com/news/articles/c2eeegdzr3do,2024-06-24T11:45:10Z
"Critical Role is branching out further into the podcasting business and putting 2 heavyweight cast members on a new, experimental show",https://www.businessinsider.com/critical-role-expands-further-into-podcast-business-moonward-obrien-ray-2024-7,2024-07-11T06:38:49Z
Kevin Feige Will Appear on a Surprising Comic-Con Panel,https://gizmodo.com/kevin-feige-san-diego-comic-con-marvel-comics-cb-cebulski-2000470026,2024-07-12T18:16:57Z
Get to Know the Green Dragons of Dungeons & Dragons' New Era,https://gizmodo.com/dungeons-and-dragons-dnd-2024-rulebooks-green-dragon-1851575038,2024-07-03T14:00:00Z
Democrats in Washington are in turmoil over Biden,https://www.npr.org/2024/07/08/nx-s1-5032858/democrats-turmoil-biden,2024-07-08T21:33:21Z
Biden campaigns in Pa. as some Democrats plead with him to consider dropping out,https://www.npr.org/2024/07/07/nx-s1-5032039/biden-campaigns-pennsylvania-democrats,2024-07-07T16:59:32Z
The best Dungeons & Dragons deals of Amazon Prime Day,https://www.polygon.com/amazon-prime-day/24199887/best-dnd-deals-dungeons-dragons,2024-07-16T19:58:59Z
"D-IX: la anfetamina milagrosa con la que los nazis quisieron ""redefinir los límites de la resistencia humana""",https://www.xataka.com/magnet/d-ix-anfetamina-milagrosa-que-nazis-quisieron-redefinir-limites-resistencia-humana,2024-07-14T13:04:20Z
The Heir Apparent,https://www.theatlantic.com/politics/archive/2024/07/jd-vance-trump-vice-president/679021/?utm_source=feed,2024-07-15T19:25:08Z
Trump’s VP Announcement Didn’t Go According to Plan,https://www.theatlantic.com/politics/archive/2024/07/the-vp-announcement-didnt-go-according-to-plan/679027/?utm_source=feed,2024-07-15T23:24:00Z
"Le programme de l’Euro 2024 du vendredi 21 juin : le deuxième match de l’équipe de France, face aux Pays-Bas",https://www.lemonde.fr/sport/article/2024/06/21/le-programme-de-l-euro-2024-du-vendredi-21-juin-le-deuxieme-match-de-l-equipe-de-france-face-aux-pays-bas_6241972_3242.html,2024-06-21T08:00:11Z
"En direct, Pologne-Autriche : suivez le match des adversaires des Bleus à l’Euro 2024",https://www.lemonde.fr/sport/live/2024/06/21/en-direct-pologne-autriche-suivez-le-match-des-adversaires-des-bleus-a-l-euro-2024_6242125_3242.html,2024-06-21T14:00:23Z
J. D. Vance Is the Bridge Between Silicon Valley and the Far Right,https://www.theatlantic.com/technology/archive/2024/07/jd-vance-silicon-valley-far-right/679058/?utm_source=feed,2024-07-17T22:01:00Z
New portrait of King released for Armed Forces Day,https://www.bbc.com/news/articles/cv2gle48845o,2024-06-29T00:21:49Z
EU Competition Commissioner Says Apple's Decision To Pull AI From EU Shows Anticompetitive Behavior,https://apple.slashdot.org/story/24/07/01/144256/eu-competition-commissioner-says-apples-decision-to-pull-ai-from-eu-shows-anticompetitive-behavior,2024-07-01T14:04:00Z
Kandji announces $100M Series D round to continue Apple endpoint management expansion in the enterprise,https://9to5mac.com/2024/07/17/kandji-series-d/,2024-07-17T11:00:00Z
"Faster-Than-Light Particle Fits With Special Theory of Relativity, Physicists Say",https://gizmodo.com/faster-than-light-particle-fits-with-special-theory-of-relativity-physicists-say-2000469803,2024-07-12T17:40:32Z
Biden campaign rushes to convince Senate Democrats that Biden can win,https://www.npr.org/2024/07/11/g-s1-9566/biden-campaign-senate-democrats,2024-07-11T18:50:51Z
J. D. Vance: Wichtige Spender der Republikaner sehen J. D. Vance offenbar skeptisch,https://www.zeit.de/politik/ausland/2024-07/usa-trump-vance-vizepraesident-kandidat-reaktionen,2024-07-16T02:24:36Z
"Apple Vision Pro, new cameras fail user-repairability analysis",https://arstechnica.com/gadgets/2024/07/apple-vision-pro-new-cameras-fail-user-repairability-analysis/,2024-07-02T21:32:31Z
"Senators Press AT&T, Snowflake For Answers on Wide-ranging Data Breach",https://news.slashdot.org/story/24/07/17/1317258/senators-press-att-snowflake-for-answers-on-wide-ranging-data-breach,2024-07-17T14:00:00Z
France - Pays-Bas : le résumé du match nul frustrant des Bleus contre les Oranje,https://www.lemonde.fr/sport/article/2024/06/21/pays-bas-france-le-resume-du-nul-frustrant-pour-les-bleus_6242181_3242.html,2024-06-21T21:22:35Z
"France–Pologne : éclipsés par leur inefficacité offensive, les Bleus se compliquent la tâche",https://www.lemonde.fr/sport/article/2024/06/25/france-pologne-eclipses-par-leur-inefficacite-offensive-les-bleus-se-compliquent-la-tache_6243691_3242.html,2024-06-25T20:19:01Z
Comptabiblio,https://www.penny-arcade.com/news/post/2024/06/26/comptabiblio,2024-06-26T18:05:00Z
Commissions Are Open!,https://www.penny-arcade.com/news/post/2024/07/01/commissions-are-open,2024-07-01T14:00:00Z
