title,url,publishedAt
Cleaning up cow burps to combat global warming,https://arstechnica.com/science/2024/06/cleaning-up-cow-burps-to-combat-global-warming/,2024-06-20T16:20:05Z
Don't think heat pumps are sexy? This slow jam could change your mind,https://www.npr.org/2024/07/15/g-s1-8939/dont-think-heat-pumps-are-sexy-this-slow-jam-could-change-your-mind,2024-07-15T09:15:00Z
"June sizzled to a 13th straight monthly heat record, but July might break string",https://www.npr.org/2024/07/08/nx-s1-5032616/june-13th-straight-monthly-heat-record-climate-warming,2024-07-08T06:10:14Z
"'We're screaming into the void.' Across the U.S., heat keeps breaking records",https://www.npr.org/2024/07/11/nx-s1-5034292/temperature-records-heatwave-climate-change,2024-07-11T09:00:00Z
We'll Have to Wait a Bit Longer for the World's Biggest Fusion Reactor,https://gizmodo.com/delay-largest-fusion-reactor-iter-tokamak-clean-energy-1851575039,2024-07-03T16:55:00Z
A rare Stratospheric Warming event has begun over the South Pole,https://www.severe-weather.eu/global-weather/polar-vortex-stratospheric-warming-event-south-hemisphere-winter-fa/,2024-07-16T02:56:04Z
Fuel From Water? Visiting a Texas 'Green Hydrogen' Plant,https://hardware.slashdot.org/story/24/06/29/215217/fuel-from-water-visiting-a-texas-green-hydrogen-plant,2024-06-30T11:34:00Z
Cape Cod's fishhook topography makes it a global hotspot for mass strandings by dolphins,https://www.yahoo.com/news/cape-cods-fishhook-topography-makes-204301071.html,2024-07-15T20:43:01Z
Scientists want to pump carbon into a hole at the bottom of the ocean in a $60 million pilot project to help stop climate change,https://www.businessinsider.com/scientists-pilot-project-inject-carbon-into-ocean-floor-holes-2024-6,2024-06-26T16:17:01Z
What's behind deaths at this year's Hajj pilgrimage in Saudi Arabia?,https://www.bbc.com/news/articles/c3ggj0809dqo,2024-06-21T14:08:25Z
Mighty floods of the Nile River during warmer and wetter climates,https://www.sciencedaily.com/releases/2024/07/240703131708.htm,2024-07-03T17:17:08Z
Supercritical launches world’s first live pricing and availability for biochar carbon removal,https://thenextweb.com/news/supercritical-launches-world-first-live-pricing-availability-biochar-carbon-removal,2024-06-27T04:45:46Z
"Neustark secures $69M to lock carbon in concrete for 100,000 years",https://thenextweb.com/news/neustark-funding-69m-carbon-capture-credits-concrete,2024-06-25T12:17:30Z
These 7 Houseplants Can Help Cool Your Home During a Heatwave - CNET,https://www.cnet.com/home/these-7-houseplants-can-help-cool-your-home-during-a-heatwave/,2024-06-22T12:50:00Z
"Jim Inhofe, former US senator from Oklahoma, dies at 89",https://abcnews.go.com/Politics/jim-inhofe-former-us-senator-oklahoma-dies-89/story?id=111778168,2024-07-09T16:54:40Z
Researchers evaluate impact of warming on soil respiration in different ecosystems,https://phys.org/news/2024-07-impact-soil-respiration-ecosystems.html,2024-07-04T20:00:01Z
What Americans say they want on climate versus what Biden and Trump are offering,https://www.businessinsider.com/biden-trump-climate-policies-ev-subsidies-renewables-fossil-fuel-drilling-2024-7,2024-07-18T11:01:02Z
Judge puts a pause on White House delay of consideration of gas export projects,https://www.npr.org/2024/07/02/g-s1-7645/judge-sides-with-16-states-putting-on-pause-bidens-delay-of-consideration-of-gas-export-projects,2024-07-02T05:30:37Z
"A new carbon removal plant will absorb carbon dioxide 99,000 times faster than Earth's oceans",https://www.businessinsider.com/carbon-dioxide-removal-plant-equatic-commercial-scale-north-america-2024-6,2024-06-26T15:54:31Z
Aldi Just Announced a Big Grocery Change That Will Impact Shoppers,https://www.thekitchn.com/aldi-uk-banana-packaging-change-23670076,2024-07-17T17:15:00Z
"2 'potentially hazardous' asteroids will streak by Earth this week, one as big as a mountain. You can watch it live.",https://www.businessinsider.com/potentially-hazardous-asteroids-fly-by-earth-this-week-watch-live-2024-6,2024-06-26T20:25:05Z
Climate lawsuits against companies on the rise: report,https://phys.org/news/2024-06-climate-lawsuits-companies.html,2024-06-27T08:19:28Z
Geological archives may predict our climate future,https://phys.org/news/2024-06-geological-archives-climate-future.html,2024-06-25T11:12:57Z
Climate model suggests extreme El Niño tipping point could be reached if global warming continues,https://phys.org/news/2024-07-climate-extreme-el-nio-global.html,2024-07-15T14:00:01Z
How shifting cloud patterns are exacerbating climate change,https://phys.org/news/2024-06-shifting-cloud-patterns-exacerbating-climate.html,2024-06-20T13:50:01Z
"A frozen wolf discovered in Siberia turned out to be 44,000 years old. It's so well-preserved that scientists are checking its gut for ancient viruses.",https://www.businessinsider.com/mummified-frozen-wolf-may-have-ancient-pleistocene-viruses-2024-6,2024-06-28T21:42:06Z
Fifty-three experts weigh in on the global methane budget,https://phys.org/news/2024-06-fifty-experts-global-methane.html,2024-06-27T12:30:01Z
Heat Dome Causes Surge in Emergency Room Visits,https://subscriber.politicopro.com/article/eenews/2024/06/21/er-visits-surge-as-record-breaking-heat-scorches-northeast-00164305,2024-06-21T15:00:00Z
"Early-onset El Niño means warmer winters in East Asia, and vice versa",https://www.sciencedaily.com/releases/2024/07/240703131731.htm,2024-07-03T17:17:31Z
"Polar warming may be underestimated by climate models, ~50 million year old climate variability suggests",https://phys.org/news/2024-07-polar-underestimated-climate-million-year.html,2024-07-08T13:40:06Z
The dawn of the Antarctic ice sheets,https://www.sciencedaily.com/releases/2024/07/240704201554.htm,2024-07-05T00:15:54Z
New Zealand also is shifting toward the Right,https://marginalrevolution.com/marginalrevolution/2024/07/new-zealand-also-is-shifting-toward-the-right.html,2024-07-02T19:09:17Z
Unprecedented warming threatens Earth's lakes and their ecosystems,https://phys.org/news/2024-07-unprecedented-threatens-earth-lakes-ecosystems.html,2024-07-12T09:00:01Z
Researchers trial world's first 'coffee concrete' footpath: 'A major step forward',https://www.yahoo.com/tech/researchers-trial-worlds-first-coffee-073000667.html,2024-06-27T07:30:00Z
Swiss companies are pioneering revolutionary batteries that can charge in one minute: 'The only way of meeting the enormous rise in demand for high-performance batteries',https://www.yahoo.com/tech/swiss-companies-pioneering-revolutionary-batteries-120000209.html,2024-06-26T12:00:00Z
Studies find China-based emissions of three potent climate-warming greenhouse gases have spiked in past decade,https://phys.org/news/2024-07-china-based-emissions-potent-climate.html,2024-07-18T21:03:03Z
Doctors treat thousands of heatstroke victims in southern Pakistan as temperatures soar,https://abcnews.go.com/International/wireStory/doctors-treat-thousands-heatstroke-victims-southern-pakistan-temperatures-111403761,2024-06-25T14:38:26Z
Crushed rocks and fertiliser switches can cut nitrous oxide from farms,https://www.newscientist.com/article/2438925-crushed-rocks-and-fertiliser-switches-can-cut-nitrous-oxide-from-farms/,2024-07-10T09:00:58Z
Will Burying Biomass Underground Curb Climate Change?,https://www.nakedcapitalism.com/2024/07/will-burying-biomass-underground-curb-climate-change.html,2024-07-19T05:02:35Z
Millions Swelter Under Dangerous Fourth of July Heat Wave,https://time.com/6995132/millions-swelter-under-dangerous-fourth-of-july-heat-wave/,2024-07-04T15:43:23Z
Why is Hurricane Beryl of so much global scientific concern?,https://www.aljazeera.com/program/inside-story/2024/7/3/why-is-hurricane-beryl-of-so-much-global-scientific-concern,2024-07-03T20:52:15Z
Amazon rainforest faces drought risk despite carbon removal efforts,https://phys.org/news/2024-06-amazon-rainforest-drought-carbon-efforts.html,2024-06-25T14:41:30Z
Recovery of unique geological samples sheds light on formation of today's Antarctic ice sheet,https://phys.org/news/2024-07-recovery-unique-geological-samples-formation.html,2024-07-04T18:00:01Z
Investigating variation in the permafrost active layer over the Tibetan Plateau from 1980 to 2020,https://phys.org/news/2024-07-variation-permafrost-layer-tibetan-plateau.html,2024-07-12T17:14:03Z
Novel spectroscopy technique sheds light on nitrogen oxides reduction,https://phys.org/news/2024-07-spectroscopy-technique-nitrogen-oxides-reduction.html,2024-07-01T16:11:02Z
"New Zealand's wettest and driest spells to become more extreme, says study",https://phys.org/news/2024-07-zealand-wettest-driest-extreme.html,2024-07-03T16:30:04Z
Melting ice no guarantee of smooth sailing in fabled Arctic crossing: Study,https://phys.org/news/2024-07-ice-smooth-fabled-arctic.html,2024-07-13T17:00:01Z
Scientists warn dangerous and widespread weather phenomenon is becoming 35 times more likely: 'Will only get worse',https://www.yahoo.com/news/scientists-warn-dangerous-widespread-weather-230000187.html,2024-07-08T23:00:00Z
New microbe-central model predicts global grassland soil pH under climate change,https://phys.org/news/2024-07-microbe-central-global-grassland-soil.html,2024-07-08T17:53:49Z
'Southerly busters' in Australia are becoming more frequent but less severe as the climate changes,https://phys.org/news/2024-07-southerly-busters-australia-frequent-severe.html,2024-07-09T15:10:01Z
