title,url,publishedAt
Bangladesh students defy ban to continue protests,https://www.bbc.com/news/articles/cl4ymjrx10xo,2024-07-19T10:30:03Z
Deadly unrest over job quotas grips Bangladesh,https://www.bbc.com/news/articles/cd1rzm4kjx0o,2024-07-17T00:24:22Z
Dozens wounded as Bangladesh students protest government job quotas,https://www.aljazeera.com/program/newsfeed/2024/7/16/dozens-wounded-as-bangladesh-students-protest-government-job-quotas,2024-07-16T11:09:41Z
Dozens wounded as students protest government job quotas in Bangladesh,https://www.aljazeera.com/news/2024/7/15/dozens-wounded-as-students-protest-government-job-quotas-in-bangladesh,2024-07-15T16:09:29Z
‘We sought rights’: Bangladesh on edge after quota protest turns violent,https://www.aljazeera.com/features/2024/7/16/we-sought-rights-bangladesh-on-edge-after-quota-protest-turns-violent,2024-07-16T12:03:37Z
Violent and fatal anti-quota protests rock Bangladesh,https://www.aljazeera.com/program/newsfeed/2024/7/18/violent-and-fatal-anti-quota-protests-rock-bangladesh,2024-07-18T19:41:44Z
"Bangladesh students defy orders, occupy universities as tensions spiral",https://www.aljazeera.com/news/2024/7/17/bangladesh-students-defy-orders-occupy-universities-as-tensions-spiral,2024-07-17T12:50:27Z
"‘It’s war now’: As Bangladesh quota protests escalate, what’s next?",https://www.aljazeera.com/news/2024/7/19/its-war-now-as-bangladesh-quota-protests-escalate-whats-next,2024-07-19T11:23:30Z
What’s behind Bangladesh’s violent quota protests?,https://www.aljazeera.com/news/2024/7/16/whats-behind-bangladeshs-violent-quota-protests,2024-07-16T14:00:51Z
[Removed],https://removed.com,1970-01-01T00:00:00Z
Telecoms cut in Bangladesh as deadly protests over government jobs escalate,https://www.cbc.ca/news/world/bangladesh-jobs-protests-telecoms-cut-1.7268940,2024-07-19T13:57:40Z
"As Protests Erupt, a Rocky Start to Sheikh Hasina’s Fourth Consecutive Term",https://thediplomat.com/2024/07/as-protests-erupt-a-rocky-start-to-sheikh-hasinas-fourth-consecutive-term/,2024-07-18T13:17:50Z
[Removed],https://removed.com,1970-01-01T00:00:00Z
At least 5 killed as Bangladesh students clash with police in protest over job quotas,https://www.cbc.ca/news/world/bangladesh-deadly-protests-jobs-1.7264877,2024-07-16T16:06:06Z
Bangladesh protest death toll reaches 32,https://www.bangkokpost.com/world/2831693/bangladesh-protest-death-toll-reaches-32,2024-07-18T15:17:00Z
Student protesters vow ‘complete shutdown’ in Bangladesh after days of violent protest,https://www.bostonglobe.com/2024/07/18/world/student-protesters-vow-complete-shutdown-bangladesh-after-days-violent-protest/,2024-07-18T07:55:21Z
[Removed],https://removed.com,1970-01-01T00:00:00Z
Bangladesh suspends internet after 28 killed in deadly protests,https://www.nbcnews.com/news/world/bangladesh-suspends-internet-28-killed-deadly-protests-government-jobs-rcna162665,2024-07-19T09:18:01Z
Bangladesh Students Reject PM Olive Branch After Deadly Protests,https://www.ibtimes.com/bangladesh-students-reject-pm-olive-branch-after-deadly-protests-3737269,2024-07-18T06:57:10Z
"Bangladesh closes universities, colleges indefinitely after deadly protests over job quotas",https://www.cbc.ca/news/world/bangladesh-deadly-protests-jobs-government-investigating-1.7266326,2024-07-17T16:48:48Z
Violence breaks out at Bangladesh anti-quota protests,https://japantoday.com/category/world/violence-breaks-out-at-bangladesh-anti-quota-protests-government-orders-probe-into-killings,2024-07-17T21:32:42Z
Why are Bangladesh students protesting government job quotas?,https://www.voanews.com/a/why-are-bangladesh-students-protesting-government-job-quotas-/7703253.html,2024-07-18T14:19:57Z
Bangladesh Riots Force Government To Cut Internet Nationwide As Chaos Erupts,https://www.activistpost.com/2024/07/bangladesh-riots-force-government-to-cut-internet-nationwide-as-chaos-erupts.html,2024-07-18T22:22:59Z
Violent clashes erupt between police and protesters in Dhaka even after 6 die during campus protests,https://www.bostonglobe.com/2024/07/17/world/violent-clashes-erupt-between-police-protesters-dhaka-even-after-6-die-during-campus-protests/,2024-07-17T21:52:11Z
Student protesters vow 'complete shutdown' in Bangladesh after days of violent protest,https://www.startribune.com/student-protesters-vow-complete-shutdown-in-bangladesh-after-days-of-violent-protest/600381562/,2024-07-18T07:48:01Z
Bangladeshi protesters demand end to civil service job quotas,https://www.voanews.com/a/bangladeshi-protesters-demand-end-to-civil-service-job-quotas/7688573.html,2024-07-07T23:41:48Z
Here's what to know about the violent protests over government jobs roiling Bangladesh,https://www.startribune.com/heres-what-to-know-about-the-violent-protests-over-government-jobs-roiling-bangladesh/600381570/,2024-07-18T09:47:01Z
